,G major,G minor,C major,E minor,E major,A minor,B major,A# major,A# minor,D minor,D major,B minor,F major,F minor,F# major,G# minor,A major,F# minor,C# minor,C# major,C minor,D# minor,D# major,G# major
disco.00031.wav,8.65,,,,,,,,,,8.62,9.05,,,,,,,,,,,,
disco.00032.wav,,,,,,9.09,,,,9.17,,,8.89,,,,,,,,,,,
disco.00033.wav,,,,,,,,,,7.08,,,11.86,7.34,,,,,,,,,,
disco.00034.wav,6.83,7.57,,,,,,,,,11.15,,,,,,,,,,,,,
disco.00035.wav,,,,,,,,,,,,,,,,8.28,,,,,,10.6,8.84,
disco.00036.wav,,,9.61,,,,,,,,,,8.79,,,,,,,,8.78,,,
disco.00037.wav,,,,,,,,,,,,,,,10.66,,,12.16,,,,9.31,,
disco.00038.wav,,,,,,,,6.57,,,,,10.25,8.14,,,,,,,,,,
disco.00039.wav,10.62,,9.0,9.84,,,,,,,,,,,,,,,,,,,,
disco.00040.wav,,,,,,,,7.9,,9.36,,,,9.25,,,,,,,,,,
disco.00041.wav,,,,,,,,,,8.13,10.18,,,,,,8.46,,,,,,,
disco.00042.wav,9.05,8.0,,,,,,,,,,,,,,,,,,,7.52,,,
disco.00043.wav,,,10.11,,,8.83,,,,,,,10.13,,,,,,,,,,,
disco.00044.wav,,,,,,,,,,,,,,,,,,,,,8.72,,9.38,10.0
disco.00045.wav,,9.25,,,,,,8.82,,,,,,,,,,,,,7.63,,,
disco.00046.wav,8.41,9.92,,,,,,,,,,,,,,,,,,,6.9,,,
disco.00047.wav,7.72,,7.83,,,8.75,,,,,,,,,,,,,,,,,,
disco.00048.wav,,,,9.28,,,,,,10.46,8.63,,,,,,,,,,,,,
disco.00049.wav,,,,,9.39,,11.61,,,,,,,,,7.55,,,,,,,,
disco.00050.wav,,,8.43,,,,,,,,,,,8.52,,,,,,,9.95,,,
disco.00051.wav,,,7.96,,,,,,,,,,,8.87,,,,,,,9.97,,,
disco.00052.wav,,,,,,,,,,,,,,,,6.61,,,,,,7.08,7.77,
disco.00053.wav,,,,,7.56,,,,,,8.64,,,,,,11.05,,,,,,,
disco.00054.wav,,,,,10.92,11.2,,,,,,,,,,,8.65,,,,,,,
disco.00055.wav,,,9.86,,,,,,,,,,7.36,,,,,,,,9.93,,,
disco.00056.wav,9.57,,,8.82,,,,,,,,9.57,,,,,,,,,,,,
disco.00057.wav,,,,,,,,,,,,,,,,,,,,,10.38,,9.62,11.4
disco.00058.wav,,,,,,,,,,11.34,10.47,,7.4,,,,,,,,,,,
disco.00059.wav,8.41,,,,,,,,,,7.02,9.42,,,,,,,,,,,,
disco.00060.wav,,,10.29,,,,,,,,,,7.87,,,,,,,,9.13,,,
disco.00061.wav,,,7.67,,,,,,,,,,,8.12,,,,,,,10.55,,,
disco.00062.wav,,,7.8,,,,,,,,,,7.93,,,,,,,,8.42,,,
disco.00063.wav,,,,,,,,12.9,10.76,,,,8.91,,,,,,,,,,,
disco.00064.wav,,,,,,,,,,,,,,8.05,,,,,,9.9,,,,8.17
disco.00065.wav,,,,,,,,,,,8.89,9.28,,,,,,7.0,,,,,,
disco.00066.wav,,,,,8.57,7.49,,,,,,,,,,,10.02,,,,,,,
disco.00067.wav,,,,,9.31,8.39,,,,,,,,,,,10.9,,,,,,,
disco.00068.wav,,,,,,,,,,,,,,,9.66,,,8.97,,9.0,,,,
disco.00069.wav,,,8.43,,,,,,,,,,7.82,,,,,,,,9.64,,,
disco.00070.wav,,,8.18,,,,,,,,,,,8.83,,,,,,,10.0,,,
disco.00071.wav,,,,,,,8.73,,,,,,,,8.97,,,,,,,8.18,,
disco.00072.wav,,,,,,,,,,9.18,12.24,,,,,,7.46,,,,,,,
disco.00073.wav,,,,,,,,,,,,,,,,8.46,,,,,,,8.17,8.58
disco.00074.wav,,,,,,,,8.55,,,,,9.09,8.55,,,,,,,,,,
disco.00075.wav,7.77,,8.26,,,,,,,,,,,,,,,,,,8.8,,,
disco.00076.wav,,,,,,,,9.32,,7.57,,,7.79,,,,,,,,,,,
disco.00077.wav,9.25,,9.12,,,8.79,,,,,,,,,,,,,,,,,,
disco.00078.wav,,,,,,,,,7.34,,,,11.34,10.17,,,,,,,,,,
disco.00079.wav,,,,,,,,,8.68,,,,,8.67,,,,,,9.86,,,,
disco.00080.wav,,,,,,,,,8.53,,,,,,11.74,,,,,8.2,,,,
disco.00081.wav,,,8.81,,,9.27,,,,,,,8.25,,,,,,,,,,,
disco.00082.wav,,,,,,,,,,,,,,8.77,,,,,,,8.16,,,7.25
disco.00083.wav,,,,11.48,10.15,,,,,,,,,,,,,,8.9,,,,,
disco.00084.wav,,,,,,,,,,,,,,,,11.13,,,,7.38,,,,10.31
disco.00085.wav,,,,,,,,,,,,,8.3,9.06,,,,,9.62,,,,,
disco.00086.wav,,,8.17,,,,,,,,,,,7.57,,,,,,,8.81,,,
disco.00087.wav,,,9.36,,,,,,,,,,,8.61,,,,,,,9.7,,,
disco.00088.wav,7.83,8.51,7.9,,,,,,,,,,,,,,,,,,,,,
disco.00089.wav,,,10.05,,,,,,,,,,7.26,,,,,,,,9.12,,,
disco.00090.wav,,10.12,,,,,,,,8.23,,,8.3,,,,,,,,,,,
disco.00091.wav,8.68,,,,,,,,,,,,,,,,,,,,15.08,,,9.34
disco.00092.wav,,,,11.0,11.26,,,,,,,,,,,,,,11.23,,,,,
disco.00093.wav,,,9.24,,,6.93,,,,,,,9.1,,,,,,,,,,,
disco.00094.wav,,,8.27,,,,,,8.72,,,,,,,,,,,,8.97,,,
disco.00095.wav,7.07,7.44,,,,,,,,11.16,,,,,,,,,,,,,,
disco.00096.wav,11.24,8.49,8.99,,,,,,,,,,,,,,,,,,,,,
disco.00097.wav,,,,,,,9.72,,,,,11.68,,,7.07,,,,,,,,,
disco.00098.wav,8.32,,10.93,,,,,,,,,,,,,,,,,,7.7,,,
disco.00099.wav,8.32,,10.93,,,,,,,,,,,,,,,,,,7.7,,,
hiphop.00000.wav,,,,9.43,,8.45,,,,,,,,,,,8.25,,,,,,,
hiphop.00001.wav,,,,,,,,,,12.71,11.45,7.15,,,,,,,,,,,,
hiphop.00002.wav,,7.71,,,,,,12.46,11.71,,,,,,,,,,,,,,,
hiphop.00003.wav,,,,,,,,,,,,,,,,,,,6.87,,6.56,6.49,,
hiphop.00004.wav,,,,,,7.78,,,,,,,,,,,7.78,,,,,,8.7,
hiphop.00005.wav,8.76,9.37,,11.7,,,,,,,,,,,,,,,,,,,,
hiphop.00006.wav,,,,8.51,,,,,,,,,,,,8.71,,8.48,,,,,,
hiphop.00007.wav,,,,,10.22,12.97,,,,,,,,,,,10.08,,,,,,,
hiphop.00008.wav,,9.39,,,,,,,,,,,,,,15.04,,,,,,,7.84,
hiphop.00009.wav,,,,13.33,11.12,,7.17,,,,,,,,,,,,,,,,,
hiphop.00010.wav,,,,,,,,,,,,,,,,,,,8.05,9.11,,,,7.47
hiphop.00011.wav,,,,,,,,10.66,,11.3,,,10.29,,,,,,,,,,,
hiphop.00012.wav,,,,,9.36,,,,,,,,,,,,9.19,,8.77,,,,,
hiphop.00013.wav,,,,7.85,,,,,,,,,,,,7.78,,,,,,,8.34,
hiphop.00014.wav,,,,,,,,,,,,,,,,8.69,,,7.52,,,,,10.02
hiphop.00015.wav,,,,,,,,,,,,,,7.39,,7.24,,,,,,,,8.92
hiphop.00016.wav,7.92,,,,,8.99,,,,,,,,,,,,,,,9.01,,,
hiphop.00017.wav,,,,,,8.14,,,,8.82,,,,7.56,,,,,,,,,,
hiphop.00018.wav,,,,,,,,,,13.38,,,,,,,,,11.56,,,8.88,,
hiphop.00019.wav,,,,,9.97,,,,,9.72,,,,,,9.57,,,,,,,,
hiphop.00020.wav,,,,,,9.06,,,,,,,,,,8.23,7.22,,,,,,,
hiphop.00021.wav,6.82,8.82,,,,,,,,,,,,,,,,7.71,,,,,,
hiphop.00022.wav,,,,,,,,10.57,13.32,,,,,,6.5,,,,,,,,,
hiphop.00023.wav,7.29,,7.85,,,,,,,6.87,,,,,,,,,,,,,,
hiphop.00024.wav,,,,,,,,,,,,,,,,,,10.6,,9.8,,,,7.74
hiphop.00025.wav,,,,9.83,,,,,,,,,7.26,9.48,,,,,,,,,,
hiphop.00026.wav,7.96,,8.08,10.27,,,,,,,,,,,,,,,,,,,,
hiphop.00027.wav,10.54,,8.29,,,,,,,,,,,,,,,,,,15.05,,,
hiphop.00028.wav,,,,,,9.7,,,10.59,,,,,,,,,,9.29,,,,,
hiphop.00029.wav,,,,,,,,,,,,,,,,10.18,,,6.28,,,,,9.31
hiphop.00030.wav,,,11.33,,,8.38,,,,,,,10.24,,,,,,,,,,,
hiphop.00031.wav,,8.48,,,,,,9.18,8.77,,,,,,,,,,,,,,,
hiphop.00032.wav,,,,,,,,,9.02,,,12.98,,,,,,,,,9.92,,,
hiphop.00033.wav,,,,9.97,8.99,,9.15,,,,,,,,,,,,,,,,,
hiphop.00034.wav,,,,11.46,,,8.0,,,,,,,,,,,8.99,,,,,,
hiphop.00035.wav,,,,,,10.12,,,7.56,,,,,,,,6.81,,,,,,,
hiphop.00036.wav,,,,,,7.51,,,,,,,,,,11.02,,,,,,,,9.72
hiphop.00037.wav,9.86,7.62,,,,,,,,,,,,,,,,,,,8.81,,,
hiphop.00038.wav,7.41,12.92,,,,,,,,,,,,10.84,,,,,,,,,,
hiphop.00039.wav,,,7.63,,,,,,10.91,,,,,,,,,,,,10.33,,,
hiphop.00040.wav,,,,,,,8.15,,,,,,,,8.15,,,,,,,9.52,,
hiphop.00041.wav,,,,,,,,,,,,,,,,,,9.55,9.4,10.18,,,,
hiphop.00042.wav,7.58,,,,,,,,,11.36,11.01,,,,,,,,,,,,,
hiphop.00043.wav,,,,,,8.15,,,,7.72,,,,,,,7.95,,,,,,,
hiphop.00044.wav,9.34,7.25,,,,,,,,,7.82,,,,,,,,,,,,,
hiphop.00045.wav,,,7.63,,,,,,10.91,,,,,,,,,,,,10.33,,,
hiphop.00046.wav,,,,,,,,8.81,,14.2,10.47,,,,,,,,,,,,,
hiphop.00047.wav,,11.37,,7.46,,,,,,,,,,8.05,,,,,,,,,,
hiphop.00048.wav,,,9.91,,,8.97,,,,,,,9.51,,,,,,,,,,,
hiphop.00049.wav,,,,,,8.49,,,,,,,,,,,9.47,,9.02,,,,,
hiphop.00050.wav,,,,,,,8.54,,9.9,,,,,,8.61,,,,,,,,,
hiphop.00051.wav,,,,,10.21,10.4,,,,,,,,,,,11.42,,,,,,,
hiphop.00052.wav,,10.92,,,,,,7.39,,,,,,,,,,,,,,,9.21,
hiphop.00053.wav,,,,,,9.12,,,,,,,,,7.74,,,7.97,,,,,,
hiphop.00054.wav,,13.18,,,,9.83,,,,,,,,,,9.75,,,,,,,,
hiphop.00055.wav,,,,15.41,10.93,,8.27,,,,,,,,,,,,,,,,,
hiphop.00056.wav,,,,,,,9.8,,,,,,10.64,,9.41,,,,,,,,,
hiphop.00057.wav,,7.85,,,,,,,,,,,,,,8.75,,,,,,,7.39,
hiphop.00058.wav,,,,,7.99,13.76,,,,,,,,,,,8.97,,,,,,,
hiphop.00059.wav,,,9.21,,,,,,,,,,12.45,12.09,,,,,,,,,,
hiphop.00060.wav,,,,,,,,,,,,,,,,8.87,,,9.28,,,,,9.85
hiphop.00061.wav,8.83,,9.76,,,9.67,,,,,,,,,,,,,,,,,,
hiphop.00062.wav,,,,10.95,9.11,,,,,,,,,,,,,8.54,,,,,,
hiphop.00063.wav,,,,,,,,,8.27,,,,,,9.7,,,,,,,8.04,,
hiphop.00064.wav,,,,,,,,,10.02,,,,,,,9.19,,,,8.02,,,,
hiphop.00065.wav,,,,,,,,7.86,,14.8,13.18,,,,,,,,,,,,,
hiphop.00066.wav,,,,,,,7.64,,8.04,,,10.36,,,,,,,,,,,,
hiphop.00067.wav,8.96,13.25,,7.45,,,,,,,,,,,,,,,,,,,,
hiphop.00068.wav,,,7.8,,,,,,,,,,8.52,,,,,10.41,,,,,,
hiphop.00069.wav,,,,,9.89,,,,,,,,,,,,10.18,,10.27,,,,,
hiphop.00070.wav,,,,,,,,11.51,10.01,,,,10.13,,,,,,,,,,,
hiphop.00071.wav,,,8.09,,,,,,,,,,,,10.61,,,12.94,,,,,,
hiphop.00072.wav,,,,,,,8.14,,8.81,,,,,,8.21,,,,,,,,,
hiphop.00073.wav,,,,15.04,8.97,,8.88,,,,,,,,,,,,,,,,,
hiphop.00074.wav,9.64,9.22,,,,,,,,,11.9,,,,,,,,,,,,,
hiphop.00075.wav,7.3,9.26,,,,,,,,,,,,6.74,,,,,,,,,,
hiphop.00076.wav,,,,9.99,,,10.62,,,,,9.51,,,,,,,,,,,,
hiphop.00077.wav,,,9.07,,,,,,,,,,,,,,,,,,13.58,,,8.04
hiphop.00078.wav,,,,9.99,,,10.62,,,,,9.51,,,,,,,,,,,,
hiphop.00079.wav,,,,,,,,10.5,10.69,,,,,,,,,,,,,,10.3,
hiphop.00080.wav,,,,,,9.7,,,,,,,,,,11.62,,,,,,,,8.08
hiphop.00081.wav,,,,,,,,,7.83,,,,,,,,,,11.77,11.44,,,,
hiphop.00082.wav,9.57,8.93,,,,,,,,,,,,,,,,7.72,,,,,,
hiphop.00083.wav,,,,,,,,,,9.21,,,,13.17,,,,,,9.6,,,,
hiphop.00084.wav,,,,8.05,,,,,,,,,7.28,10.88,,,,,,,,,,
hiphop.00085.wav,,,,,,,,,,,,,,,,13.57,,,,6.94,,,,11.95
hiphop.00086.wav,,,,,8.17,,,,,,,,,,,12.88,,,,,,,,10.12
hiphop.00087.wav,,,,,7.96,8.75,,,,,,,,,,,8.02,,,,,,,
hiphop.00088.wav,,,,,,,,9.44,,9.49,7.98,,,,,,,,,,,,,
hiphop.00089.wav,,,7.74,9.0,,,,,,,,,,9.87,,,,,,,,,,
hiphop.00090.wav,,,,8.2,,,,,,,,,8.39,13.05,,,,,,,,,,
hiphop.00091.wav,,,,,,,,,9.0,,,,,,9.36,,,11.64,,,,,,
hiphop.00092.wav,,,,,,7.76,,,,,,,,,,9.28,6.74,,,,,,,
hiphop.00093.wav,,,,,7.23,12.2,,,,,,,,,,,7.34,,,,,,,
hiphop.00094.wav,,,,,,10.95,,,,,,,,,,,7.73,10.43,,,,,,
hiphop.00095.wav,11.67,,7.15,,,,,,,,,7.13,,,,,,,,,,,,
hiphop.00096.wav,,,8.91,14.69,11.99,,,,,,,,,,,,,,,,,,,
hiphop.00097.wav,,8.11,,,,,,,,,,,,,,7.58,,,,,,,10.08,
hiphop.00098.wav,,,,,,7.7,,,,,,,,,,,8.58,,,,,,,7.57
hiphop.00099.wav,9.55,10.44,,,,,,,,,10.03,,,,,,,,,,,,,
jazz.00000.wav,,,10.7,,,7.04,,,,,,,,,,,,,,,6.87,,,
jazz.00001.wav,,,,,,,,,,,,,,,11.17,,,12.29,,8.49,,,,
jazz.00002.wav,,,,,,,,,10.83,,,,,,9.45,,,,,,,9.0,,
jazz.00003.wav,,,,8.9,10.02,,10.46,,,,,,,,,,,,,,,,,
jazz.00004.wav,9.29,,,11.34,,,,,,,,9.02,,,,,,,,,,,,
jazz.00005.wav,,,,,,,,10.16,9.05,,,,,,,,,,,,,,10.16,
jazz.00006.wav,,,,,,,9.69,,,,,8.1,,,,,,,,,,11.83,,
jazz.00007.wav,,,,,,,,8.55,10.71,,,,,,,,,,,,,9.59,,
jazz.00008.wav,,,,,,,,,8.16,,,,,,,,,,,,8.75,,7.47,
jazz.00009.wav,7.34,,,,,,,,,,8.83,8.92,,,,,,,,,,,,
jazz.00010.wav,8.92,10.02,,,,,,,,,,,,,,,,,,,6.69,,,
jazz.00011.wav,,11.14,,,,,,,,,,,,,,,,,,,7.9,,8.82,
jazz.00012.wav,,,,,,,,,,,,,,,,,,,,,7.81,,9.39,8.24
jazz.00013.wav,8.61,14.9,,,,,,,,,,,,,,,,,,,,,8.53,
jazz.00014.wav,,,8.53,,,6.99,,,,,,,7.63,,,,,,,,,,,
jazz.00015.wav,,9.85,,,,,,,,,,,,,,,,,,,6.97,,8.9,
jazz.00016.wav,,,,,8.07,8.23,8.41,,,,,,,,,,,,,,,,,
jazz.00017.wav,,,,,,,,9.59,8.61,,,,,,,,,,,,,,9.99,
jazz.00018.wav,,,,,,,,,,,,,,7.69,,7.62,,,,,,,,9.73
jazz.00019.wav,,,12.54,8.61,,,,,,,,,,,,,,,,,9.31,,,
jazz.00020.wav,,,,,,8.93,,,,,9.23,,,,,,8.34,,,,,,,
jazz.00021.wav,,,,,,,,,,8.08,8.83,,,,,,,10.25,,,,,,
jazz.00022.wav,,,,,,,,,,,,,,,,6.52,6.72,,,,,,,8.88
jazz.00023.wav,,,,,,,,,,,,,,,,,,,8.06,9.02,,,,9.68
jazz.00024.wav,,,,,,,,,,,,,,,,8.99,,,,,9.6,,,8.99
jazz.00025.wav,,10.9,,,,,,,,,6.72,,,,,,,,,,,,8.34,
jazz.00026.wav,,,,,,,,11.06,10.43,8.08,,,,,,,,,,,,,,
jazz.00027.wav,12.53,9.75,,,,,,,,,,,,,,,,,,,7.78,,,
jazz.00028.wav,10.18,10.56,,9.44,,,,,,,,,,,,,,,,,,,,
jazz.00029.wav,,,,,,,,,,8.35,,,,,,,,,8.54,7.27,,,,
jazz.00030.wav,,,,,,,,,9.26,7.82,,,,,,,7.91,,,,,,,
jazz.00031.wav,,,,,,9.39,,,,,,,7.78,,,8.23,,,,,,,,
jazz.00032.wav,8.84,,,,,,,,,,9.82,,,,,,,8.65,,,,,,
jazz.00033.wav,,,,,,,,9.2,,,,,,,,,9.71,,,,,,7.91,
jazz.00034.wav,,,,,,,,,,,,,,12.36,,10.07,,,,,,,,10.55
jazz.00035.wav,6.96,,8.65,,,8.08,,,,,,,,,,,,,,,,,,
jazz.00036.wav,,,,,,,,10.77,7.66,7.76,,,,,,,,,,,,,,
jazz.00037.wav,,,,,,,,7.23,9.51,,,,,,,,,,,7.22,,,,
jazz.00038.wav,,,,,,,,,,,,,,12.15,,,,,,9.21,,,,7.84
jazz.00039.wav,,,,,,,,,,,,,,,,,,,,,,7.47,7.83,8.09
jazz.00040.wav,,,,,,,,,,,,,,,,8.51,,,,,9.2,,,10.49
jazz.00041.wav,,,,,,,,8.57,8.24,,,,,,,,,,,,,,9.33,
jazz.00042.wav,,,,,,,11.87,,,,,,,,8.41,,,,,,,8.04,,
jazz.00043.wav,,,,,,,,,,,,,,8.87,,,,,,8.68,,,,10.66
jazz.00044.wav,,7.64,,,,,,,,11.2,8.09,,,,,,,,,,,,,
jazz.00045.wav,,,8.95,,,,,,,,,,,8.16,,,,,,,9.19,,,
jazz.00046.wav,,,,,,,,9.08,8.18,,,,,,,,,,,,,,8.47,
jazz.00047.wav,,,,,,11.15,,7.14,,,,,9.41,,,,,,,,,,,
jazz.00048.wav,9.64,,,,,,,,,8.49,8.8,,,,,,,,,,,,,
jazz.00049.wav,,,,,,7.72,,,,9.58,,,9.1,,,,,,,,,,,
jazz.00050.wav,10.92,9.71,,,,,,,,,9.07,,,,,,,,,,,,,
jazz.00051.wav,,,,,,,,9.23,,,,,,,,,9.71,,,,,,7.89,
jazz.00052.wav,,,9.53,,,8.71,,,,8.31,,,,,,,,,,,,,,
jazz.00053.wav,,,,,,,,,,,,,,12.36,,10.07,,,,,,,,10.55
jazz.00055.wav,6.96,,8.65,,,8.08,,,,,,,,,,,,,,,,,,
jazz.00056.wav,,,,,,,,,,10.52,11.66,,,,,,8.55,,,,,,,
jazz.00057.wav,,,,,,,,,,,,,,,,,,,,,7.96,,7.31,9.24
jazz.00058.wav,,,,,,,,10.77,7.66,7.76,,,,,,,,,,,,,,
jazz.00059.wav,,8.71,,,,,,,,,,,,,,,,,,,9.25,,9.23,
jazz.00060.wav,,,,,,,,7.23,9.51,,,,,,,,,,,7.22,,,,
jazz.00061.wav,8.92,,,,,,,,,,,,,,,,,,,,9.8,,,8.53
jazz.00062.wav,,,,,,,,,,,,,,12.15,,,,,,9.21,,,,7.84
jazz.00063.wav,,,,,,,,,,,,,,7.85,,,,,,,9.51,,,8.28
jazz.00064.wav,9.79,,8.89,,,,,,,8.72,,,,,,,,,,,,,,
jazz.00065.wav,,,,,,,,,,,,,,,,,,,,,,7.47,7.83,8.09
jazz.00066.wav,,7.96,,,,,,,,,,,,,,,,,,,7.94,,8.36,
jazz.00067.wav,,,,,,,,,,,,,,,,8.57,,,,,9.18,,,10.49
jazz.00068.wav,,,,,,,11.87,,,,,,,,8.41,,,,,,,8.03,,
jazz.00069.wav,,,,,,,,,,,,,,8.87,,,,,,8.68,,,,10.66
jazz.00070.wav,,7.64,,,,,,,,11.2,8.09,,,,,,,,,,,,,
jazz.00071.wav,,,8.95,,,,,,,,,,,8.16,,,,,,,9.19,,,
jazz.00072.wav,,,,,,,,9.38,8.41,,,,,,,,,,,,,,8.43,
jazz.00073.wav,,,9.78,,,8.86,,,,,,,,,,,,,,,9.08,,,
jazz.00074.wav,9.29,,8.27,9.01,,,,,,,,,,,,,,,,,,,,
jazz.00075.wav,,,,,,,,,,,,,,8.66,,,,,,,7.25,,,8.18
jazz.00076.wav,,,9.75,,,9.19,,,,,,,,,,,,,,,9.16,,,
jazz.00077.wav,,,,,,8.37,,,,9.79,,,9.2,,,,,,,,,,,
jazz.00078.wav,,,,,,9.93,,,,9.41,,,9.08,,,,,,,,,,,
jazz.00079.wav,,,,,8.47,7.07,,,,,,,,,,,7.11,,,,,,,
jazz.00080.wav,,,,,,8.81,,,,10.6,9.31,,,,,,,,,,,,,
jazz.00081.wav,,,,,,,,,,13.65,11.7,8.63,,,,,,,,,,,,
jazz.00082.wav,9.94,,6.63,,,,,,,,6.45,,,,,,,,,,,,,
jazz.00083.wav,,,,8.87,,,,,,8.66,8.4,,,,,,,,,,,,,
jazz.00084.wav,,,8.72,,,,,,,,,,,,,,,,8.52,,11.77,,,
jazz.00085.wav,,,,,,,,,,,,,,9.07,8.63,,,,,,,9.09,,
jazz.00086.wav,10.82,,8.1,,,,,,,,,,,,,,,,,,7.81,,,
jazz.00087.wav,,,,,,,,,,11.65,10.95,,,,,,8.27,,,,,,,
jazz.00088.wav,,7.38,,,,,,,,,,,,8.45,,,,,,,,,,8.8
jazz.00089.wav,,,,,,8.91,,,,8.71,8.52,,,,,,,,,,,,,
jazz.00090.wav,,,,,,,,,,14.53,7.29,,9.45,,,,,,,,,,,
jazz.00091.wav,,,,,,,,,8.5,,,,,,,8.31,,,,,,7.32,,
jazz.00092.wav,9.2,,9.37,,,,,,,,,,,,,,,,,,10.97,,,
jazz.00093.wav,,,,,,,,,,,,,,,,,,,,,8.95,,8.13,7.55
jazz.00094.wav,8.48,,9.29,8.13,,,,,,,,,,,,,,,,,,,,
jazz.00095.wav,8.5,,7.91,,,,,,,,,,,,,,,,,,7.46,,,
jazz.00096.wav,,,,,,,,9.4,9.12,,,,,,,,,,,,,,7.5,
jazz.00097.wav,,,,,,,,,,,,,,,,9.88,,,,,,,8.76,11.91
jazz.00098.wav,9.56,,10.52,,,,,,,,,,,,,,,,,,9.03,,,
jazz.00099.wav,,,,,,,,,,,,,,8.56,,,,,,,8.69,,,7.66
metal.00000.wav,,8.26,,,,,,7.6,,,,,,,,,,,,,6.95,,,
metal.00001.wav,,,,,,,,,8.92,,,,,,10.76,,,,,8.76,,,,
metal.00002.wav,,,,,,,,,,,10.05,,,,,,7.8,8.34,,,,,,
metal.00003.wav,,,,,,14.3,,,,,,,8.23,,,,9.91,,,,,,,
metal.00004.wav,,10.79,,,,,,,,7.98,9.54,,,,,,,,,,,,,
metal.00005.wav,8.41,,,,,,,,,8.04,8.94,,,,,,,,,,,,,
metal.00006.wav,,,,,,,,,8.38,,,,,,8.35,,,,,8.54,,,,
metal.00007.wav,11.1,8.74,,,,,,,,,7.39,,,,,,,,,,,,,
metal.00008.wav,,,9.13,,,,,,,,,,9.88,10.36,,,,,,,,,,
metal.00009.wav,,,,,,,,,,,,9.58,,,,13.01,,,,,,,,9.28
metal.00010.wav,7.64,,,7.31,,,,,,,,6.83,,,,,,,,,,,,
metal.00011.wav,,,,,,,7.64,,,,,,,,,8.62,,,,,7.46,,,
metal.00012.wav,,,9.37,,,13.31,,,,,,,9.15,,,,,,,,,,,
metal.00013.wav,,11.08,,,,,,,,7.68,8.83,,,,,,,,,,,,,
metal.00014.wav,9.07,,,9.75,,,,,,,,9.24,,,,,,,,,,,,
metal.00015.wav,,,7.56,12.04,8.95,,,,,,,,,,,,,,,,,,,
metal.00016.wav,,,,,,,,,7.2,,,,,,,,,,7.15,7.17,,,,
metal.00017.wav,,,,,9.15,,8.17,,,,,,,,,,,,,,,9.58,,
metal.00018.wav,,,,,,,,,,,,,,,,,,,12.38,10.65,,,,7.84
metal.00019.wav,,,,6.65,,,9.47,,,,,,,,,,,,,,,9.65,,
metal.00020.wav,,,,,8.61,,,,,,7.25,,,,,,,9.84,,,,,,
metal.00021.wav,,,8.5,9.81,,8.29,,,,,,,,,,,,,,,,,,
metal.00022.wav,,,,,8.28,9.61,,,,,,,,,,,12.16,,,,,,,
metal.00023.wav,,,10.64,,,,,,,,,,,8.84,,,,,,,10.26,,,
metal.00024.wav,,,,10.37,8.03,,6.93,,,,,,,,,,,,,,,,,
metal.00025.wav,,,,11.58,12.09,,8.18,,,,,,,,,,,,,,,,,
metal.00026.wav,,,,,8.6,10.11,,,,,,,,,,9.6,,,,,,,,
metal.00027.wav,,,,,,,,12.61,11.12,,,,,,,,,,,,,9.66,,
metal.00028.wav,,,,,,,8.65,,,,,,,,,,,,,,,11.92,6.75,
metal.00029.wav,,,,,,,,9.05,,,,,8.77,10.4,,,,,,,,,,
metal.00030.wav,,,9.61,,,10.03,,,,,,,,,,,,,9.57,,,,,
metal.00031.wav,,,,,,,,,,,,,,,,8.42,,,,,,,7.45,8.63
metal.00032.wav,9.09,,8.81,10.62,,,,,,,,,,,,,,,,,,,,
metal.00033.wav,,,8.2,,,7.38,,,,,,,9.75,,,,,,,,,,,
metal.00034.wav,8.96,,8.35,9.84,,,,,,,,,,,,,,,,,,,,
metal.00035.wav,,,,,,,,,,,,,,,,,7.1,,11.71,10.07,,,,
metal.00036.wav,,,,,,,,9.77,,,,,,,,,,,,,,9.77,9.94,
metal.00037.wav,,,,,,,7.86,,,,,,,,,,,,9.69,,,7.54,,
metal.00038.wav,,,,8.4,,,,9.11,,8.32,,,,,,,,,,,,,,
metal.00039.wav,,,,,8.95,,,,,,,,,,,9.99,,,,,,,,7.74
metal.00040.wav,,,,,,12.29,,,,,,,7.14,,,,8.5,,,,,,,
metal.00041.wav,,,,,,8.86,,,,8.13,,,,,,,8.27,,,,,,,
metal.00042.wav,,,,,11.14,11.35,,,,,,,,,,,11.16,,,,,,,
metal.00043.wav,,,,,,,,,,,,,,,10.93,,,13.3,,9.55,,,,
metal.00044.wav,,,9.62,9.52,,9.9,,,,,,,,,,,,,,,,,,
metal.00045.wav,7.23,,,,,9.1,,,,,8.71,,,,,,,,,,,,,
metal.00046.wav,,,,,,,,8.59,11.02,,,,,,,9.79,,,,,,,,
metal.00047.wav,,,,,,,,,,11.2,9.4,,,,,,,,,,8.38,,,
metal.00048.wav,,,,,,,,,,,,,,,,,,8.7,11.18,9.97,,,,
metal.00049.wav,,8.81,,,,10.7,,,,,,,,,,,7.61,,,,,,,
metal.00050.wav,,,,,,11.12,,,,,9.26,,,,,,9.96,,,,,,,
metal.00051.wav,11.05,8.38,,,,,,,,,9.8,,,,,,,,,,,,,
metal.00052.wav,,,,,,9.7,,,,,,,8.25,,,,,9.18,,,,,,
metal.00053.wav,,,,,,11.86,,,,,10.0,,,,,,10.83,,,,,,,
metal.00054.wav,,,,,,,,,,,,,,,,11.1,,,,10.52,,,,10.99
